"label","overall_fps","num_sequences_ok","total_frames","max_peak_allocated_mb","abs_rel","rmse","d125"
"stream","1.7073807158339946","1","2","7374.4658203125","0.04192417774853748","0.21791757724040886","0.982058584690094"
"xstream","2.334764397342687","1","2","7465.189453125","0.04192417774853748","0.21791757724040886","0.982058584690094"
"infinite","2.019732634307214","1","2","7464.404296875","0.04213175663930346","0.21813541042307635","0.9821001887321472"
