label,overall_fps,formal_fps_valid,total_frames,max_peak_allocated_mb,cache_max,seq_max,evict_calls_total,cache_hit_rate,AbsRel,RMSE,delta125,fps_delta_pct_vs_ctrl,AbsRel_delta_vs_ctrl
ctrl,5.054376738201627,True,40,8358.091796875,5020.0,6024.0,840.0,0.8222222222222222,0.09463745026586347,0.3963255606882338,0.9442703723907471,0.0,0.0
probe6,4.3748821090166246,True,40,8358.091796875,5020.0,6024.0,840.0,0.8222222222222222,0.09992149417722943,0.4059445316759878,0.9408949613571167,-13.443687805249958,0.005284043911365957
probe4,4.965907389477671,True,40,8358.091796875,5020.0,6024.0,840.0,0.8222222222222222,0.09456027744062098,0.3913729275718273,0.9438728094100952,-1.7503512956462783,-7.717282524248581e-05
